UnitID,Institution Name,State abbreviation (HD2019),Control of institution (HD2019),Average amount of student loans awarded to full-time first-time undergraduates (SFA1819),Average amount of student loans awarded to full-time first-time undergraduates (SFA1718_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1617_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1516_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1415_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1314_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1213_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1112_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1011_RV),Average amount of student loan aid received by full-time first-time undergraduates (SFA0910_RV),Percent of full-time first-time undergraduates awarded any financial aid (SFA1819),Undergraduate enrollment (DRVEF2018_RV)
486619,Academy of Professional Cosmetology,AR,3,6107,5024,7241,6553,6667,,,,,,57,77
107293,Academy of Salon and Spa,AR,3,5521,6265,6247,7815,6933,6414,6843,6880,7087,5614,96,53
106306,Arkansas Baptist College,AR,2,6282,6173,7159,5100,5500,8765,6813,4012,5974,3672,100,525
106324,Arkansas Beauty College,AR,3,3871,4922,6530,5135,4916,4840,3001,3844,6003,6317,79,15
106315,Arkansas Beauty School-Little Rock,AR,3,6750,5917,11972,8306,11833,6500,5520,4026,6083,4060,75,125
106351,Arkansas College of Barbering and Hair Design,AR,3,,7500,11600,7448,8929,10974,9145,8628,7447,5344,,128
488527,Arkansas Colleges of Health Education,AR,2,,,,,,,,,,,,0
107327,Arkansas Northeastern College,AR,1,,4000,,,6000,2380,3402,,,5167,97,1422
107318,Arkansas State University Mid-South,AR,1,,,,,,,,,,,91,1423
448336,Arkansas State University System,AR,1,,,,,,,,,,,,
107521,Arkansas State University Three Rivers,AR,1,4929,3605,4463,5045,3954,3586,3668,3966,3592,3427,92,1259
106449,Arkansas State University-Beebe,AR,1,4036,3970,4291,3836,3918,4202,3946,4192,4059,3872,89,3446
106458,Arkansas State University-Main Campus,AR,1,6088,6059,5731,5673,5778,5580,5273,5395,5127,5980,97,9350
420538,Arkansas State University-Mountain Home,AR,1,4420,4323,5057,4717,4491,5628,6345,5689,4133,1975,95,1345
440402,Arkansas State University-Newport,AR,1,4064,4874,4998,4427,4079,3752,3867,5123,4437,4277,86,2270
106467,Arkansas Tech University,AR,1,6300,6860,6446,5950,5778,5217,4709,5039,4596,4708,96,11151
491075,Arkansas Welding Academy,AR,3,10017,11885,,,,,,,,,87,15
106360,Arthur's Beauty College Inc-Fort Smith,AR,3,6095,4624,6199,5593,7113,5388,5623,4588,3420,3456,83,31
106494,Arthur's Beauty College Inc-Jacksonville,AR,3,4366,5906,6440,5457,6724,4988,5137,6503,5855,3000,79,36
489830,Arthur's Beauty College-Jonesboro,AR,3,6280,6839,5902,5358,,,,,,,88,57
445540,Arthur's Beauty School Inc-Conway,AR,3,5532,6651,6824,6151,6869,7094,6723,5943,5100,3524,95,55
106546,Baptist Health College Little Rock,AR,2,1283,1179,1375,1220,2830,5163,4747,5691,5444,7865,100,648
106625,Black River Technical College,AR,1,4402,4196,5234,5051,4994,4867,5147,6060,5219,4158,86,1576
450119,Blue Cliff College-Fayetteville,AR,3,3540,4031,3373,3081,3665,8837,8748,8923,5539,9442,87,197
454458,Bryan University,AR,3,10834,8896,9558,11820,11806,9206,12176,5788,7866,8797,100,56
490364,C. Alexander School of Cosmetology,AR,3,,4428,4986,,,,,,,,,24
107220,Career Academy of Hair Design,AR,3,8031,6685,5694,5207,4646,6175,6237,8618,6097,7584,90,211
106713,Central Baptist College,AR,2,5739,5615,5896,5898,6565,5645,5265,5543,4997,7840,100,732
492069,Champion Christian College,AR,2,4671,,,,,,,,,,76,87
106795,Cossatot Community College of the University of Arkansas,AR,1,,,,,,,,,,,90,1518
106810,Crowley's Ridge College,AR,2,6426,5912,5910,5913,6037,5360,4858,5218,4960,6391,100,198
106829,Crowley's Ridge Technical Institute,AR,1,,,,,,,,,,,,168
490540,Delta Designs Cosmetology School,AR,3,5001,4934,,,,,,,,,100,45
480921,Designer Barber & Stylist School,AR,3,,11889,10762,11781,8545,6541,,,,,,78
106883,East Arkansas Community College,AR,1,3243,2025,3274,2013,2938,2385,1987,1630,2692,2175,92,1151
106892,Eastern College of Health Vocations-Little Rock,AR,3,3336,3632,3178,3372,3236,3311,2816,2997,3465,3092,91,121
446233,Ecclesia College,AR,2,5483,4380,5227,6411,5889,5298,4680,4647,6013,5704,98,217
492281,GoodFellas Barber College,AR,3,9953,,,,,,,,,,44,
107044,Harding University,AR,2,7369,7378,7708,7262,7305,7088,7272,6372,6819,6734,99,3974
107071,Henderson State University,AR,1,6194,6187,5881,4981,5276,5574,4988,5106,5462,5411,99,3404
107080,Hendrix College,AR,2,6570,6775,7425,6817,7515,7436,7158,6701,5640,5862,100,1202
107099,Hot Springs Beauty College,AR,3,4611,6200,5295,4001,5000,4500,4243,4000,3191,3050,100,28
106908,Imagine-Paul Mitchell Partner School,AR,3,8726,10354,9543,9892,9771,10778,8610,8929,8228,8453,95,382
107123,Jefferson Regional Medical Center School of Nursing,AR,2,,,,,,,,,2780,,,70
107141,John Brown University,AR,2,7363,6033,6769,6907,6785,6552,7576,6082,7918,5518,99,1903
106342,Lyon College,AR,2,8475,7537,5580,6953,6258,6410,5313,5396,4970,5938,100,655
106980,National Park College,AR,1,4135,4476,4400,3257,5870,6264,6844,8311,6149,6099,93,2017
485591,New Beginnings Beauty Academy,AR,3,4701,4515,9193,5715,,,,,,,100,32
107442,New Tyler Barber College Inc,AR,3,8929,8549,8635,9050,8857,8417,8462,9445,8593,8676,91,38
107460,North Arkansas College,AR,1,3818,4348,4567,3938,5039,4501,5576,5229,5052,5403,96,1812
490744,Northern Technical College,AR,3,10827,10207,,,,,,,,,88,29
367459,NorthWest Arkansas Community College,AR,1,3611,3924,4158,4149,4172,6023,6284,6310,6675,6087,75,7979
107488,Northwest Technical Institute,AR,1,,,,,,,7250,8000,8000,8333,64,237
107512,Ouachita Baptist University,AR,2,6189,6260,6564,6452,5988,7708,6418,6002,6529,5820,99,1660
107549,Ozarka College,AR,1,4818,4047,3610,4982,4786,4750,5167,6555,6163,5845,95,1123
107789,Paul Mitchell the School-Arkansas,AR,3,9172,10019,10284,9530,9928,9806,7406,9531,10226,8419,78,95
107600,Philander Smith College,AR,2,6259,6964,6654,6596,7842,6653,6952,7228,6559,4241,99,1000
107619,Phillips Community College of the University of Arkansas,AR,1,,,,,,1732,2104,1650,1750,2556,95,1520
107655,Professional Cosmetology Education Center,AR,3,8602,6297,5728,3614,6697,5121,6040,6047,5229,5155,100,30
438869,Remington College-Little Rock Campus,AR,2,9132,4087,,9401,7575,7651,7927,8036,7880,5914,100,39
485704,River Valley School of Massage,AR,3,6113,7990,4751,3544,,,,,,,80,13
107831,Searcy Beauty College,AR,3,8276,8980,11885,8558,8431,7798,7979,5713,5243,4805,87,75
107840,Shorter College,AR,2,5718,9500,8168,7830,7047,8801,4007,,,,91,569
107974,South Arkansas Community College,AR,1,3934,3320,3991,4347,2388,4725,5274,4824,3740,3374,94,1473
107637,Southeast Arkansas College,AR,1,3063,3102,3515,3671,2458,1993,,,2985,2754,95,1119
107983,Southern Arkansas University Main Campus,AR,1,5443,5465,5426,5262,6079,5501,5099,4851,5046,5326,99,3542
107992,Southern Arkansas University Tech,AR,1,2871,4285,4463,4340,3395,3065,3366,4568,5467,4464,75,1082
458885,Strayer University-Arkansas,AR,3,,,,,,,,,,,,292
485731,The Beauty School,AR,3,9607,3464,7500,11083,9000,,,,,,100,15
460987,The Salon Professional Academy-North Little Rock,AR,3,6392,6824,6564,7251,7244,6836,7201,6455,4977,,73,88
106397,University of Arkansas,AR,1,7979,7803,7654,7177,6904,6956,6435,6116,5654,5917,76,23386
106245,University of Arkansas at Little Rock,AR,1,7142,6778,6598,5518,5081,5653,4725,4559,4101,4903,95,7715
106485,University of Arkansas at Monticello,AR,1,5324,5051,4872,5168,4990,4967,4914,5030,4506,4403,90,2810
106412,University of Arkansas at Pine Bluff,AR,1,6185,5872,5812,5894,6647,6205,6505,5725,5219,6389,98,2473
107743,University of Arkansas Community College Rich Mountain,AR,1,,,,,,,,,,,97,814
106999,University of Arkansas Community College-Batesville,AR,1,5266,4645,4159,3965,3380,4303,1391,1741,3602,5147,97,1319
107585,University of Arkansas Community College-Morrilton,AR,1,4187,4248,3693,4619,3334,3915,3724,3946,3723,4779,93,1902
493725,University of Arkansas eVersity,AR,1,,,,,,,,,,,0,
106263,University of Arkansas for Medical Sciences,AR,1,,,,,,,,,,,,606
108056,University of Arkansas System Office,AR,1,,,,,,,,,,,,
