UnitID,Institution Name,Published in-district tuition and fees 2018-19 (IC2018_AY),Published in-district tuition and fees 2017-18 (IC2017_AY),Published in-district tuition and fees 2016-17 (IC2016_AY),Published in-district tuition and fees 2015-16 (IC2015_AY),Published in-district tuition and fees 2014-15 (IC2014_AY),Published in-district tuition and fees 2013-14 (IC2013_AY),Published in-district tuition and fees 2012-13 (IC2012_AY),Published in-district tuition and fees 2011-12 (IC2011_AY_RV),Published in-district tuition and fees 2010-11 (IC2010_AY_RV),Published in-district tuition and fees 2009-10 (IC2009_AY_RV)
486619,Academy of Professional Cosmetology,,,,,,,,,,
107293,Academy of Salon and Spa,,,,,,,,,,
106306,Arkansas Baptist College,8760,8760,8760,8760,8040,8040,7800,7800,7432,7018
106324,Arkansas Beauty College,,,,,,,,,,
106315,Arkansas Beauty School-Little Rock,,,,,,,,,,
106351,Arkansas College of Barbering and Hair Design,,,,,,,,,,
488527,Arkansas Colleges of Health Education,,,,,,,,,,
107327,Arkansas Northeastern College,2318,2290,2206,2150,1954,1954,1870,1758,1720,1664
107318,Arkansas State University Mid-South,2674,2674,2554,2554,2554,2458,2190,2930,2270,2120
448336,Arkansas State University System,,,,,,,,,,
107521,Arkansas State University Three Rivers,3890,3680,3620,3620,3310,3367,2547,2402,2312,2252
106449,Arkansas State University-Beebe,2880,3570,3480,3480,2808,2099,2098,2053,2160,2136
106458,Arkansas State University-Main Campus,8607,8478,8200,8050,7720,7510,7180,6934,6640,6370
420538,Arkansas State University-Mountain Home,2856,2832,2784,2736,2664,2592,3150,3030,2910,2760
440402,Arkansas State University-Newport,2760,2760,2689,2616,2520,2400,2304,2208,2040,1920
106467,Arkansas Tech University,7254,7104,6624,6192,5862,5598,5286,5070,4804,4554
491075,Arkansas Welding Academy,,,,,,,,,,
106360,Arthur's Beauty College Inc-Fort Smith,,,,,,,,,,
106494,Arthur's Beauty College Inc-Jacksonville,,,,,,,,,,
489830,Arthur's Beauty College-Jonesboro,,,,,,,,,,
445540,Arthur's Beauty School Inc-Conway,,,,,,,,,,
106546,Baptist Health College Little Rock,10439,9867,9194,8802,8402,7804,7600,7352,7340,7340
106625,Black River Technical College,3168,3120,2904,2832,2688,2520,2472,1968,1968,1752
450119,Blue Cliff College-Fayetteville,,,,,,15260,15260,15070,14705,14058
454458,Bryan University,15433,15433,15433,15433,15309,14760,14415,28800,17500,28782
490364,C. Alexander School of Cosmetology,,,,,,,,,,
107220,Career Academy of Hair Design,,,,,,,,,,
106713,Central Baptist College,16200,15750,15000,14400,13800,13350,12530,11610,10760,9950
492069,Champion Christian College,5240,,,,,,,,,
106795,Cossatot Community College of the University of Arkansas,3450,3210,3015,2670,2332,2212,2002,1942,1900,1840
106810,Crowley's Ridge College,13600,12250,12500,11900,11800,10900,10900,10310,9910,9160
106829,Crowley's Ridge Technical Institute,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
490540,Delta Designs Cosmetology School,,,,,,,,,,
480921,Designer Barber & Stylist School,,,,,,,,,,
106883,East Arkansas Community College,2880,2850,2850,2790,2610,2520,2430,2340,2190,2040
106892,Eastern College of Health Vocations-Little Rock,,,,,,,,,,
446233,Ecclesia College,15140,15140,15140,15140,15140,15140,15140,15140,15140,15050
492281,GoodFellas Barber College,,,,,,,,,,
107044,Harding University,19845,19385,18635,17805,17040,16170,15240,14610,14040,13580
107071,Henderson State University,8530,8530,8340,8100,7860,7580,7280,7010,6740,5083
107080,Hendrix College,45790,44070,42440,40870,39290,37816,36200,34230,32040,30270
107099,Hot Springs Beauty College,,,,,,,,,,
106908,Imagine-Paul Mitchell Partner School,,,,,,,,,,
107123,Jefferson Regional Medical Center School of Nursing,,,,,,,,,,
107141,John Brown University,26928,26144,25324,24468,23588,22734,21774,20766,19770,18880
106342,Lyon College,28790,27340,26290,25280,24300,23594,23594,22906,21324,19968
106980,National Park College,3750,3450,3200,3200,3140,3020,3270,2698,2718,2590
485591,New Beginnings Beauty Academy,,,,,,,,,,
107442,New Tyler Barber College Inc,,,,,,,,,,
107460,North Arkansas College,2280,2208,2088,2040,1896,1896,1752,1584,1536,1440
490744,Northern Technical College,,,,,,,,,,
367459,NorthWest Arkansas Community College,3238,3238,3208,3208,2998,2998,2915,2748,2613,2014
107488,Northwest Technical Institute,2326,2321,2321,2321,2321,2321,2321,2321,2321,2321
107512,Ouachita Baptist University,26790,25870,24940,24120,23320,22370,21440,20630,19820,18940
107549,Ozarka College,3004,2932,2776,2776,2680,2414,2258,2186,2186,2066
107789,Paul Mitchell the School-Arkansas,,,,,,,,,,
107600,Philander Smith College,13014,12714,12714,12564,12564,12564,12464,11910,9450,9000
107619,Phillips Community College of the University of Arkansas,2930,2810,2720,2593,2583,2375,2375,2250,2150,2030
107655,Professional Cosmetology Education Center,,,,,,,,,,
