UnitID,Institution Name,State abbreviation (HD2019),Control of institution (HD2019),Average amount of student loans awarded to full-time first-time undergraduates (SFA1819),Average amount of student loans awarded to full-time first-time undergraduates (SFA1718_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1617_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1516_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1415_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1314_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1213_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1112_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1011_RV),Average amount of student loan aid received by full-time first-time undergraduates (SFA0910_RV),,,Percent of full-time first-time undergraduates awarded any financial aid (SFA1819)
451079,Academy for Five Element Acupuncture,FL,2,,,,,,,,,,,,,
412173,Academy for Nursing and Health Occupations,FL,2,8206,8292,8466,7236,8257,6371,7460,8116,7180,8080,,,95
451097,Academy of Career Training,FL,3,5462,5623,5623,5603,5603,5603,6247,3998,3998,4834,,,67
372462,Academy of Cosmetology,FL,3,11435,8389,7200,6272,5547,4978,2845,4000,5000,6026,,,81
439969,Acupuncture and Massage College,FL,3,5542,4917,6127,6856,6455,7600,6992,,9214,5727,,,91
444334,Advance Science International College,FL,3,4885,7110,4700,4989,4750,,9212,7576,7022,7263,,,41
133872,AdventHealth University,FL,2,6950,6581,5614,8255,6315,6522,6029,5439,6180,7273,,,91
134811,AI Miami International University of Art and Design,FL,3,7945,7633,7612,7739,8493,8715,8638,7646,7988,9871,,,87
137801,Altierus Career College-Tampa,FL,2,7408,6731,9079,8883,7654,9136,9185,13071,10052,8869,,,97
476771,Ambiance Beauty & Barber Academy Inc,FL,3,4002,4898,5543,5031,5543,2721,5268,2259,,,,,100
457396,American Academy of Cosmetology,FL,3,4919,6534,6523,6575,6790,5659,9037,8306,8482,8226,,,65
444370,American Advanced Technicians Institute,FL,3,4332,5324,5151,5702,5120,4666,4730,5141,4691,4045,,,96
490391,American Beauty Schools,FL,3,2609,2585,2072,,,,,,,,,,40
461005,American College for Medical Careers,FL,3,4841,5515,6558,6266,7811,8705,7594,,,,,,79
447883,American Institute of Beauty,FL,3,7127,8435,7998,7980,8132,9017,9208,8201,7001,7065,,,89
475714,American Medical Academy,FL,3,7900,8708,9500,10155,1741,,,,,,,,6
492032,Amslee Institute,FL,3,,,,,,,,,,,,,
485342,Aparicio-Levy Technical College,FL,1,,,,,,,,,,,,,71
460701,Artistic Nails and Beauty Academy-Lakeland,FL,3,5129,5607,6363,5812,6605,5814,5564,8776,9220,,,,72
378886,Artistic Nails and Beauty Academy-Tampa,FL,3,5756,5417,4568,5381,6043,9308,6228,9422,7395,8710,,,91
391546,ASM Beauty World Academy,FL,3,,,,,4360,5681,2532,2492,4749,4996,,,
446127,ATA Career Education,FL,3,9215,10751,10801,11462,11506,9654,9500,8192,6684,5601,,,100
439446,Atlantic Institute of Oriental Medicine,FL,2,,,,,,,,,,,,,
132374,Atlantic Technical College,FL,1,,,,,,,,,,,,,17
485768,Atlantis University,FL,3,4500,4343,3729,3500,3500,,,,,,,,86
442295,Ave Maria School of Law,FL,2,,,,,,,,,,,,,
446048,Ave Maria University,FL,2,6927,6734,6462,6747,6160,6465,7005,6283,5760,5783,,,100
451149,Aveda Institute-South Florida,FL,3,9776,8944,10349,9684,10424,7325,7125,7224,6843,8966,,,97
451158,Aveda Institute-Tallahassee,FL,3,8184,10395,9715,10137,10944,6657,7543,6561,7381,7899,,,90
457411,Aviation Institute of Maintenance-Orlando,FL,3,7517,10952,12764,10141,10068,10373,10699,11912,8894,9944,,,95
447847,Aviator College of Aeronautical Science and Technology,FL,3,3164,28901,15822,5485,18224,4915,1837,2515,3235,2750,,,27
132471,Barry University,FL,2,6491,6277,6115,6416,7136,7492,7397,6397,6590,6571,,,100
384254,Beacon College,FL,2,9844,8551,7079,5835,4187,4009,3068,7516,5639,4043,,,60
460969,Beauty Academy of South Florida,FL,3,6983,7017,6487,6282,6724,5062,3856,4337,4111,,,,92
419660,Beauty Schools of America-Hialeah,FL,3,,5488,6632,6837,6942,7131,7128,6363,6860,6232,,,
456861,Beauty Schools of America-Homestead,FL,3,,3047,3720,3851,4738,5414,5345,7564,6142,6318,,,
135771,Beauty Schools of America-Miami,FL,3,,5091,5642,5895,6960,7087,7038,6652,6851,6637,,,
450182,Beauty Schools of America-North Miami Beach,FL,3,,6264,7572,7451,8574,7648,7634,7358,6077,5867,,,
493567,Bellasa Professional Institute,FL,3,,,,,,,,,,,,,30
137591,Bene's Career Academy,FL,3,4792,5544,5881,6474,6474,5886,5156,5156,5367,6440,,,74
132602,Bethune-Cookman University,FL,2,6885,6805,7041,7029,7876,7526,7813,6637,6587,7476,,,97
137856,Big Bend Technical College,FL,1,,,,,,,,,,,,,83
481483,Boca Beauty Academy,FL,3,3936,3391,4068,3828,3813,5333,2630,,,,,,55
489238,Boca Beauty Academy-Parkland,FL,3,4819,4106,3786,3157,,,,,,,,,68
367875,Brewster Technical College,FL,1,,,,,,,,,,,,,73
132709,Broward College,FL,1,3284,3439,3405,3197,1087,1208,3059,4719,5211,4179,,,73
454865,Cambridge College of Healthcare & Technology,FL,3,11782,8424,11281,10705,8980,13660,12750,11667,13591,16795,,,100
446109,Cambridge Institute of Allied Health & Technology,FL,3,10648,8506,5980,5526,5731,5859,6887,4814,4814,2882,,,66
431558,Cape Coral Technical College,FL,1,,,,,,,,,,,,,67
132842,Carlos Albizu University-Miami,FL,2,3188,6286,8117,3625,3851,2870,5813,7456,4600,5250,,,100
447874,CDA Technical Institute,FL,3,9708,8517,10470,8354,13521,8503,10790,13153,12543,4410,,,77
454917,Celebrity School of Beauty,FL,3,8622,7455,7280,6764,5762,7659,2335,1958,1789,1882,,,98
488226,Center for Neurosomatic Studies,FL,3,,10856,2009,5240,,,,,,,,,
457129,Chamberlain University-Florida,FL,3,8150,9000,,12313,5500,17111,,8432,10000,8154,,,83
132976,Charlotte Technical College,FL,1,,,,,,,,,,,,,59
133021,Chipola College,FL,1,,,,,,,2975,3650,3571,3913,,,84
417327,City College-Altamonte Springs,FL,2,8700,7416,8354,7869,8500,8747,9113,7246,11849,8868,,,100
244233,City College-Fort Lauderdale,FL,2,8378,8851,8506,8227,9151,9013,9345,7421,9082,8434,,,88
406547,City College-Gainesville,FL,2,7678,8882,8864,8467,8642,9065,9311,8365,8594,8699,,,100
475477,City College-Hollywood,FL,2,7708,6667,8409,7889,8167,8731,9285,8863,,,,,100
434539,City College-Miami,FL,2,8051,8407,7833,7878,9314,8344,8521,8411,7148,9050,,,97
456977,College of Business and Technology-Cutler Bay,FL,3,7300,7200,6000,6500,6500,6500,6500,6500,6500,6800,,,100
449092,College of Business and Technology-Hialeah,FL,3,8000,8000,7500,8000,7200,6500,6500,6500,4500,4500,,,100
449083,College of Business and Technology-Main Campus,FL,3,6800,7500,7500,8000,8500,4500,5000,5000,4500,4500,,,100
417318,College of Business and Technology-Miami Campus,FL,3,,,,,,6816,6676,6500,6500,6500,,,
