UnitID,Institution Name,Undergraduate enrollment (DRVEF2018_RV),Published in-district tuition and fees 2018-19 (IC2018_AY),Published in-district tuition and fees 2017-18 (IC2017_AY),Published in-district tuition and fees 2016-17 (IC2016_AY),Published in-district tuition and fees 2015-16 (IC2015_AY),Published in-district tuition and fees 2014-15 (IC2014_AY),Published in-district tuition and fees 2013-14 (IC2013_AY),Published in-district tuition and fees 2012-13 (IC2012_AY),Published in-district tuition and fees 2011-12 (IC2011_AY_RV),Published in-district tuition and fees 2010-11 (IC2010_AY_RV),Published in-district tuition and fees 2009-10 (IC2009_AY_RV),
451079,Academy for Five Element Acupuncture,0,,,,,,,,,,,
412173,Academy for Nursing and Health Occupations,466,,,,,,,,,,,
451097,Academy of Career Training,46,,,,,,,,,,,
372462,Academy of Cosmetology,119,,,,,,,,,,,
439969,Acupuncture and Massage College,29,10866,10765,10765,10425,10425,10425,,10275,10525,10465,
444334,Advance Science International College,9,,,,,,,,,,,
133872,AdventHealth University,1341,12240,14400,13480,13030,12430,11830,10780,10030,9580,9280,
134811,AI Miami International University of Art and Design,1342,17604,17698,17700,17700,17704,17704,17714,17704,17704,30550,
137801,Altierus Career College-Tampa,222,14650,12879,12879,11972,14940,15156,15336,15336,14328,13536,
476771,Ambiance Beauty & Barber Academy Inc,26,,,,,,,,,,,
457396,American Academy of Cosmetology,90,,,,,,,,,,,
444370,American Advanced Technicians Institute,66,,,,,,,,,,,
490391,American Beauty Schools,31,,,,,,,,,,,
461005,American College for Medical Careers,226,,,,,,,12976,14600,,,
447883,American Institute of Beauty,87,,,,,,,,,,,
475714,American Medical Academy,461,,,,,,,,,,,
492032,Amslee Institute,5,,,,,,,,,,,
485342,Aparicio-Levy Technical College,294,,,,,2602,,,,,,
460701,Artistic Nails and Beauty Academy-Lakeland,159,,,,,,,,,,,
378886,Artistic Nails and Beauty Academy-Tampa,81,,,,,,,,,,,
391546,ASM Beauty World Academy,156,,,,,,,,,,,
