UnitID,Institution Name,State abbreviation (HD2019),Control of institution (HD2019),Average amount of student loans awarded to full-time first-time undergraduates (SFA1819),Average amount of student loans awarded to full-time first-time undergraduates (SFA1718_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1617_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1516_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1415_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1314_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1213_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1112_RV),Average amount of student loans awarded to full-time first-time undergraduates (SFA1011_RV),Average amount of student loan aid received by full-time first-time undergraduates (SFA0910_RV),,,Percent of full-time first-time undergraduates awarded any financial aid (SFA1819),Undergraduate enrollment (DRVEF2018_RV)
175722,Academy of Hair Design-Grenada,MS,3,7067,7750,4220,4944,3767,,,,1742,3484,,,100,42
374316,Academy of Hair Design-Jackson,MS,3,4500,6385,5375,5950,7931,3500,,,1096,3186,,,100,53
382461,Academy of Hair Design-Pearl,MS,3,5663,5093,4083,5200,5785,3500,,,1850,2863,,,86,47
175342,Alcorn State University,MS,1,6099,6739,8779,6406,7168,7210,7115,6564,6393,5668,,,88,3173
383950,Antonelli College-Hattiesburg,MS,3,,10864,11122,5418,9673,10354,10285,5091,6001,9594,,,,155
175528,Antonelli College-Jackson,MS,3,,8551,10669,8648,9073,10577,7084,6353,8510,6375,,,,193
175421,Belhaven University,MS,2,6989,6585,6236,6198,7480,6632,6803,7291,6174,5531,,,95,2307
441502,Blue Cliff College-Gulfport,MS,3,4700,4102,4463,3931,3869,8628,8628,9654,6823,7959,,,92,324
175430,Blue Mountain College,MS,2,5623,5396,5623,4681,5928,4687,5520,2974,3115,2816,,,99,631
175999,Board of Trustees-Mississippi State Institutions of Higher Learning,MS,1,,,,,,,,,,,,,,
175494,Chris Beauty College,MS,3,,,,,,,,,,,,,100,106
175519,Coahoma Community College,MS,1,,,,,,,,,,,,,99,1895
487588,Concorde Career College-Southaven,MS,3,5147,5138,7506,7363,7360,,,,,,,,91,345
175573,Copiah-Lincoln Community College,MS,1,4090,3476,3215,3154,2916,2904,2711,2873,3225,3329,,,90,3094
451343,Corinth Academy of Cosmetology,MS,3,5833,6679,7189,4417,6389,,,7000,3500,3750,,,94,114
175607,Delta Beauty College,MS,3,6175,7654,7178,8972,,,,,,,,,100,15
175616,Delta State University,MS,1,5930,6021,5708,5802,7072,7173,7011,4560,6465,5651,,,94,3075
447023,Delta Technical College,MS,3,7204,8475,8308,8983,8044,9033,9187,9168,8225,6317,,,99,688
175643,East Central Community College,MS,1,3472,3248,3304,3117,3296,3569,3852,4345,4398,3600,,,94,2603
175652,East Mississippi Community College,MS,1,4548,4257,4071,4230,4011,4422,4400,4585,4713,4791,,,92,4000
175698,Fosters Cosmetology College,MS,3,5708,6985,8278,9617,10762,11206,,,,,,,100,27
491729,Goshen School of Cosmetology,MS,3,7250,8214,,,,,,,,,,,100,39
175786,Hinds Community College,MS,1,3856,3946,4363,3442,3386,2875,2985,3580,3972,3408,,,89,12521
175810,Holmes Community College,MS,1,2442,2444,2378,2185,2154,2166,2151,2213,2280,2241,,,89,5678
448017,Institute of Health & Technology,MS,3,4297,4132,7808,7114,7114,7114,7114,6700,6984,7026,,,90,139
175829,Itawamba Community College,MS,1,3877,3627,3275,3694,3162,3632,3710,4227,4958,5060,,,97,4930
175856,Jackson State University,MS,1,6689,6782,6931,6706,7162,8076,7296,8731,8327,7082,,,98,5331
175883,Jones County Junior College,MS,1,3946,3982,4088,4394,4302,4331,4331,4418,4512,4661,,,80,4496
374343,KC's School of Hair Design,MS,3,3296,4442,4579,3979,5525,9500,9500,9500,,,,,87,39
176390,Magnolia College of Cosmetology,MS,3,5939,5393,5985,6378,7095,6104,5580,5182,5854,5090,,,91,43
175935,Meridian Community College,MS,1,2739,2358,2584,2621,2824,2692,3195,3288,2864,2946,,,92,3494
475459,Midwest Technical Institute-Ridgeland,MS,3,8230,7951,7586,9296,7930,8061,9237,9200,,,,,98,582
175980,Millsaps College,MS,2,7396,6914,7467,6998,6941,7418,6608,6341,5940,6078,,,100,799
176053,Mississippi College,MS,2,5720,5959,6000,5775,6011,5798,5686,5781,5692,6086,,,100,3232
176062,Mississippi College of Beauty Culture,MS,3,7500,8554,3750,1895,5200,6100,6100,,,,,,47,63
247737,Mississippi Community College Board,MS,1,,,,,,,,,,,,,,
176008,Mississippi Delta Community College,MS,1,,,,,,,,,,,,,89,2373
176071,Mississippi Gulf Coast Community College,MS,1,4868,4487,4898,4886,5228,5127,4885,4671,4795,4768,,,91,8950
455105,Mississippi Institute of Aesthetics Nails & Cosmetology,MS,3,4896,2647,5777,7854,6371,7649,7215,6076,5084,5422,,,82,70
176080,Mississippi State University,MS,1,6936,7297,6916,6725,6701,6713,6790,6100,6064,6060,,,95,18490
176035,Mississippi University for Women,MS,1,6573,5882,6026,5530,6591,5593,6315,6024,5423,5775,,,97,2505
176044,Mississippi Valley State University,MS,1,6838,5764,8063,7056,6866,7287,7417,5867,7353,4725,,,98,1930
176169,Northeast Mississippi Community College,MS,1,4405,4079,4454,3188,4488,3759,3644,3746,3555,2988,,,99,3512
176178,Northwest Mississippi Community College,MS,1,3409,3282,3368,3189,3876,3296,3412,2989,3040,2928,,,91,7618
176239,Pearl River Community College,MS,1,4508,5074,3692,3630,3462,4311,4220,4258,4242,3952,,,96,4836
176318,Rust College,MS,2,6086,5388,7035,5627,5157,3168,5325,5139,4675,4415,,,100,846
176336,Southeastern Baptist College,MS,2,5000,,,,,,,,,,,,100,72
