UnitID,Institution Name,Published in-district tuition and fees 2018-19 (IC2018_AY),Published in-district tuition and fees 2017-18 (IC2017_AY),Published in-district tuition and fees 2016-17 (IC2016_AY),Published in-district tuition and fees 2015-16 (IC2015_AY),Published in-district tuition and fees 2014-15 (IC2014_AY),Published in-district tuition and fees 2013-14 (IC2013_AY),Published in-district tuition and fees 2012-13 (IC2012_AY),Published in-district tuition and fees 2011-12 (IC2011_AY_RV),Published in-district tuition and fees 2010-11 (IC2010_AY_RV),Published in-district tuition and fees 2009-10 (IC2009_AY_RV),
175722,Academy of Hair Design-Grenada,,,,,,,,,,,
374316,Academy of Hair Design-Jackson,,,,,,,,,,,
382461,Academy of Hair Design-Pearl,,,,,,,,,,,
175342,Alcorn State University,7084,6888,6546,6386,6200,6108,5712,5247,4858,4498,
383950,Antonelli College-Hattiesburg,15980,15980,15980,15980,15980,15980,23250,14850,14850,10560,
175528,Antonelli College-Jackson,15980,15980,15980,15980,15980,15980,15500,14850,14850,10920,
175421,Belhaven University,25300,24250,23016,21816,20780,19970,19200,18420,17700,16780,
441502,Blue Cliff College-Gulfport,,,,,,15770,16148,15468,15468,14344,
175430,Blue Mountain College,12584,11760,11212,10852,10534,9470,9230,9130,8920,8570,
175999,Board of Trustees-Mississippi State Institutions of Higher Learning,,,,,,,,,,,
175494,Chris Beauty College,,,,,,,,,,,
175519,Coahoma Community College,3003,2803,2603,2440,2240,2240,2240,2040,2040,1840,
487588,Concorde Career College-Southaven,,,,,,,,,,,
175573,Copiah-Lincoln Community College,3180,3180,2730,2730,2455,2350,2250,2250,2250,1820,
451343,Corinth Academy of Cosmetology,,,,,,,,,,,
175607,Delta Beauty College,,,,,,,,,,,
175616,Delta State University,7246,6859,6418,6112,6562,6562,5724,5288,4851,4450,
447023,Delta Technical College,,,,,,,,,,,
175643,East Central Community College,2870,2790,2290,2190,2170,2170,2070,1980,1980,1800,
175652,East Mississippi Community College,3440,3240,2840,2840,2600,2600,2450,2450,2350,2000,
175698,Fosters Cosmetology College,,,,,,,,,,,
491729,Goshen School of Cosmetology,,,,,,,,,,,
175786,Hinds Community College,3130,3080,2840,2600,2500,2260,2060,2060,2060,1710,
175810,Holmes Community College,3110,3110,2740,2360,2288,2288,2138,2138,1938,1588,
448017,Institute of Health & Technology,,,,,,,,,,,
175829,Itawamba Community College,3160,2840,2620,2420,2420,2220,2020,2020,1680,1680,
175856,Jackson State University,8051,7621,7261,6886,6602,6348,5888,5050,5050,4634,
175883,Jones County Junior College,3480,3480,3000,2722,2722,2722,2480,2380,2320,2120,
374343,KC's School of Hair Design,,,,,,,,,,,
176390,Magnolia College of Cosmetology,,,,,,,,,,,
175935,Meridian Community College,3054,2964,2440,2430,2430,2410,2230,2230,2230,1780,
475459,Midwest Technical Institute-Ridgeland,,,,,,,,,,,
175980,Millsaps College,39910,38930,37110,35510,33982,32520,30974,29482,27812,26240,
176053,Mississippi College,18026,17392,16740,16064,15458,14868,14430,14038,13550,13290,
176062,Mississippi College of Beauty Culture,,,,,,,,,,,
247737,Mississippi Community College Board,,,,,,,,,,,
176008,Mississippi Delta Community College,3030,3030,2650,2520,2490,2450,2450,2330,2330,1920,
176071,Mississippi Gulf Coast Community College,3670,3670,3272,3272,2732,2712,2712,2712,2712,2212,
455105,Mississippi Institute of Aesthetics Nails & Cosmetology,,,,,,,,,,,
176080,Mississippi State University,8650,8318,7780,7502,7140,6772,6264,5805,5461,5151,
176035,Mississippi University for Women,6940,6614,6065,5781,5640,5640,5316,4876,4644,4423,
176044,Mississippi Valley State University,6550,6422,6116,5936,5916,5916,5703,5307,4831,4877,
176169,Northeast Mississippi Community College,3596,3232,2732,2310,2301,2301,2130,2130,2130,1920,
176178,Northwest Mississippi Community College,3000,3000,2800,2550,2550,2250,2250,1950,1950,1700,
176239,Pearl River Community College,3500,3500,3080,2855,2855,2630,2380,2180,2180,1880,
176318,Rust College,9900,9700,9500,9500,9286,8900,8300,8100,7610,7870,
176336,Southeastern Baptist College,6025,5165,4790,4790,5130,4790,4790,4590,4550,4300,
176354,Southwest Mississippi Community College,3280,3200,2800,2720,2620,2400,2090,2090,2090,1800,
458955,Strayer University-Mississippi,13380,13857,12975,12975,12975,15495,14985,14805,14085,,
438674,The Academy of Hair Design Six,,,,,,,,,,,
176406,Tougaloo College,10600,10600,10600,10608,10218,10227,10218,10218,9718,9718,
245281,Traxlers School of Hair,,,,,,,,,,,
176017,University of Mississippi,8660,8300,7744,7444,7096,6760,6282,5790,5436,5106,
176372,University of Southern Mississippi,8624,8218,7659,7334,6980,6744,6336,5834,5452,5498,
491233,Unlimited Cosmetology School,,,,,,,,,,,
176433,Vaughn Beauty College,,,,,,,,,,,
176451,Wesley Biblical Seminary,,,,,,,,,,,
176479,William Carey University,12600,12300,11700,11700,11400,10800,10350,10350,10350,9750,
