UnitID,Institution Name,Control of institution (HD2019),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1819),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1718_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1617_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1516_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1415_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1314_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1213_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1112_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA1011_RV),Average amount of federal  state  local  institutional or other sources of grant aid dollars received by undergraduate students (SFA0910_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2018-19 (EFIA2019),Reported full-time equivalent (FTE) undergraduate enrollment  2017-18 (EFIA2018_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2016-17 (EFIA2017_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2015-16 (EFIA2016_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2014-15 (EFIA2015_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2013-14 (EFIA2014_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2012-13 (EFIA2013_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2011-12 (EFIA2012_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2010-11 (EFIA2011_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2009-10 (EFIA2010_RV),Published in-district tuition and fees 2019-20 (IC2019_AY),Published in-district tuition and fees 2018-19 (IC2018_AY),Published in-district tuition and fees 2017-18 (IC2017_AY),Published in-district tuition and fees 2016-17 (IC2016_AY),Published in-district tuition and fees 2015-16 (IC2015_AY),Published in-district tuition and fees 2014-15 (IC2014_AY),Published in-district tuition and fees 2013-14 (IC2013_AY),Published in-district tuition and fees 2012-13 (IC2012_AY),Published in-district tuition and fees 2011-12 (IC2011_AY_RV),Published in-district tuition and fees 2010-11 (IC2010_AY_RV),Published in-district tuition and fees 2009-10 (IC2009_AY_RV)
455929,Academy of Hair Design-Oklahoma City,3,5630,3510,3780,4966,4445,4071,4036,3868,2586,4452,65,80,85,85,62,46,54,45,70,98,,,,,,,,,,,
449728,American Institute of Medical Technology,3,5063,6968,4817,5011,5799,5799,5429,5550,7935,6349,120,117,105,119,68,62,26,27,102,64,,,,,,,,,,,
365213,Autry Technology Center,1,2022,2388,2389,2067,2373,2777,3126,2970,2842,2960,505,540,552,522,565,538,550,541,555,582,,,,,,,,,,,
206817,Bacone College,2,19820,11013,11134,5359,4727,4009,3735,15762,14311,14207,231,826,899,792,887,892,988,1043,1050,972,14700,17700,17700,14850,14500,14050,14050,13510,12900,12300,11700
207272,Beauty Technical College Inc,3,4700,4400,4100,4350,4669,4742,4129,4867,5000,6412,39,53,37,27,30,47,65,76,55,31,,,,,,,,,,,
448424,Broken Arrow Beauty College,3,3747,3270,3724,1903,3290,7979,2123,3298,4917,5338,85,79,101,89,102,125,122,111,110,78,,,,,,,,,,,
206880,Broken Arrow Beauty College-Broken Arrow,3,,2281,3729,3302,7368,7945,3518,3404,4831,3411,,65,76,99,94,104,110,138,178,73,,,,,,,,,,,
364946,Caddo Kiowa Technology Center,1,3516,3604,3335,3503,3159,3327,3206,2842,3041,2547,270,339,277,260,237,214,204,204,254,495,,,,,,,,,,,
206914,Cameron University,1,6492,5864,5663,5814,5781,5563,5184,5016,5048,4998,3130,3270,3512,3733,3879,4141,4352,4631,4620,4458,6450,6450,6180,5970,5580,5340,5055,4770,4590,4336,4110
365374,Canadian Valley Technology Center,1,3794,2974,2984,2128,1964,2385,2362,2445,2855,2363,1162,1333,1081,1035,1063,1064,1256,892,915,1118,,,,,,,,,,,
206923,Carl Albert State College,1,4193,4811,4628,4869,5085,4495,4221,4862,5427,4995,1360,1476,1591,1713,1703,1921,2041,2136,2174,2037,3818,3687,3412,3160,3011,3003,2808,2664,2332,2216,2104
206932,Central Oklahoma College,3,4743,4861,4033,4965,4067,4143,3624,6716,3139,3320,286,268,235,199,196,170,85,89,112,124,,,,,,,,,,,
246017,Central Technology Center,1,2595,3799,3732,3824,3140,2844,2368,1653,4395,3222,647,204,319,239,182,202,209,784,828,815,,,,,,,,,,,
