State,UnitID,InstitutionName,Control,TotalEnrollment,SFA1819,SFA1718_RV,SFA1617_RV,SFA1516_RV,SFA1415_RV,SFA1314_RV,SFA1213_RV,SFA1112_RV,SFA1011_RV,SFA0910_RV,EFIA2019,EFIA2018_RV,EFIA2017_RV,EFIA2016_RV,EFIA2015_RV,EFIA2014_RV,EFIA2013_RV,EFIA2012_RV,EFIA2011_RV,EFIA2010_RV,IC2019_AY,IC2018_AY,IC2017_AY,IC2016_AY,IC2015_AY,IC2014_AY,IC2013_AY,IC2012_AY,IC2011_AY_RV,IC2010_AY_RV,IC2009_AY_RV,PercentUndergradAid
OK,455929,Academy of Hair Design-Oklahoma City,3,65,5630,3510,3780,4966,4445,4071,4036,3868,2586,4452,65,80,85,85,62,46,54,45,70,98,,,,,,,,,,,,57
OK,449728,American Institute of Medical Technology,3,120,5063,6968,4817,5011,5799,5799,5429,5550,7935,6349,120,117,105,119,68,62,26,27,102,64,,,,,,,,,,,,57
OK,365213,Autry Technology Center,1,505,2022,2388,2389,2067,2373,2777,3126,2970,2842,2960,505,540,552,522,565,538,550,541,555,582,,,,,,,,,,,,40
OK,206817,Bacone College,2,231,19820,11013,11134,5359,4727,4009,3735,15762,14311,14207,231,826,899,792,887,892,988,1043,1050,972,14700,17700,17700,14850,14500,14050,14050,13510,12900,12300,11700,86
OK,207272,Beauty Technical College Inc,3,39,4700,4400,4100,4350,4669,4742,4129,4867,5000,6412,39,53,37,27,30,47,65,76,55,31,,,,,,,,,,,,95
OK,448424,Broken Arrow Beauty College,3,85,3747,3270,3724,1903,3290,7979,2123,3298,4917,5338,85,79,101,89,102,125,122,111,110,78,,,,,,,,,,,,57
OK,206880,Broken Arrow Beauty College-Broken Arrow,3,,,2281,3729,3302,7368,7945,3518,3404,4831,3411,,65,76,99,94,104,110,138,178,73,,,,,,,,,,,,
OK,364946,Caddo Kiowa Technology Center,1,270,3516,3604,3335,3503,3159,3327,3206,2842,3041,2547,270,339,277,260,237,214,204,204,254,495,,,,,,,,,,,,24
OK,206914,Cameron University,1,3130,6492,5864,5663,5814,5781,5563,5184,5016,5048,4998,3130,3270,3512,3733,3879,4141,4352,4631,4620,4458,6450,6450,6180,5970,5580,5340,5055,4770,4590,4336,4110,73
OK,365374,Canadian Valley Technology Center,1,1162,3794,2974,2984,2128,1964,2385,2362,2445,2855,2363,1162,1333,1081,1035,1063,1064,1256,892,915,1118,,,,,,,,,,,,27
OK,206923,Carl Albert State College,1,1360,4193,4811,4628,4869,5085,4495,4221,4862,5427,4995,1360,1476,1591,1713,1703,1921,2041,2136,2174,2037,3818,3687,3412,3160,3011,3003,2808,2664,2332,2216,2104,87
OK,206932,Central Oklahoma College,3,286,4743,4861,4033,4965,4067,4143,3624,6716,3139,3320,286,268,235,199,196,170,85,89,112,124,,,,,,,,,,,,71
OK,246017,Central Technology Center,1,647,2595,3799,3732,3824,3140,2844,2368,1653,4395,3222,647,204,319,239,182,202,209,784,828,815,,,,,,,,,,,,20
OK,375656,Chisholm Trail Technology Center,1,121,3580,2426,1931,2649,3647,4683,3288,3273,2532,2914,121,94,100,154,136,152,160,162,167,139,,,,,,,,,,,,13
OK,450401,Clary Sage College,2,563,4540,4669,4862,4036,3879,3821,3832,3904,3670,3897,563,566,630,637,406,355,350,342,370,407,,,,,,,,,,,,69
OK,480967,College of the Muscogee Nation,1,198,7428,6675,6928,3078,4267,1890,,,,,198,209,207,171,165,174,188,,,,6600,6600,6600,6600,6600,6501,6501,,,,,93
OK,439570,Community Care College,2,921,4975,5000,4897,4290,4429,4202,4248,4161,4112,4561,921,925,988,1071,703,733,754,802,1044,934,,,,,,,,,,,,74
OK,206996,Connors State College,1,1533,4815,4341,3961,4114,4352,4623,4642,6752,6836,6116,1533,1629,1732,1696,1722,1783,1773,1717,1986,1741,3624,3600,3512,3210,2990,3563,3352,2539,2287,2091,2091,81
OK,207041,East Central University,1,2619,6754,6256,7329,7213,7150,6506,6292,6219,6456,6475,2619,2750,2993,3770,3265,3361,3370,3513,3560,3349,7052,6810,6600,6279,5874,5599,5241,4957,4703,4482,4271,66
OK,418348,Eastern Oklahoma County Technology Center,1,297,3081,2301,2154,1722,1742,1921,1775,1651,2061,1798,297,300,318,318,287,280,247,308,226,298,,,,,,,,,,,,11
