UnitID,InstitutionName,Control of institution (HD2019),Reported full-time equivalent (FTE) undergraduate enrollment  2018-19 (EFIA2019),Reported full-time equivalent (FTE) undergraduate enrollment  2017-18 (EFIA2018_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2016-17 (EFIA2017_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2015-16 (EFIA2016_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2014-15 (EFIA2015_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2013-14 (EFIA2014_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2012-13 (EFIA2013_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2011-12 (EFIA2012_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2010-11 (EFIA2011_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2009-10 (EFIA2010_RV)
455929,Academy of Hair Design-Oklahoma City,3,65,80,85,85,62,46,54,45,70,98
449728,American Institute of Medical Technology,3,120,117,105,119,68,62,26,27,102,64
365213,Autry Technology Center,1,505,540,552,522,565,538,550,541,555,582
206817,Bacone College,2,231,826,899,792,887,892,988,1043,1050,972
207272,Beauty Technical College Inc,3,39,53,37,27,30,47,65,76,55,31
448424,Broken Arrow Beauty College,3,85,79,101,89,102,125,122,111,110,78
206880,Broken Arrow Beauty College-Broken Arrow,3,,65,76,99,94,104,110,138,178,73
364946,Caddo Kiowa Technology Center,1,270,339,277,260,237,214,204,204,254,495
206914,Cameron University,1,3130,3270,3512,3733,3879,4141,4352,4631,4620,4458
365374,Canadian Valley Technology Center,1,1162,1333,1081,1035,1063,1064,1256,892,915,1118
206923,Carl Albert State College,1,1360,1476,1591,1713,1703,1921,2041,2136,2174,2037
206932,Central Oklahoma College,3,286,268,235,199,196,170,85,89,112,124
246017,Central Technology Center,1,647,204,319,239,182,202,209,784,828,815
375656,Chisholm Trail Technology Center,1,121,94,100,154,136,152,160,162,167,139
450401,Clary Sage College,2,563,566,630,637,406,355,350,342,370,407
480967,College of the Muscogee Nation,1,198,209,207,171,165,174,188,,,
439570,Community Care College,2,921,925,988,1071,703,733,754,802,1044,934
206996,Connors State College,1,1533,1629,1732,1696,1722,1783,1773,1717,1986,1741
207041,East Central University,1,2619,2750,2993,3770,3265,3361,3370,3513,3560,3349
418348,Eastern Oklahoma County Technology Center,1,297,300,318,318,287,280,247,308,226,298
207050,Eastern Oklahoma State College,1,1030,1002,1129,1145,1166,1287,1415,1468,1559,1514
207087,Enid Beauty College,3,45,44,52,51,57,64,63,72,71,100
207102,Eves College of Hairstyling,3,151,158,150,148,110,109,102,126,75,149
443058,Family of Faith Christian University,2,10,20,24,14,20,19,18,17,26,31
208044,Formations Institute of Cosmetology & Barbering,3,22,41,53,26,57,51,53,40,36,10
245999,Francis Tuttle Technology Center,1,2585,2439,2508,2479,2632,2333,2125,2759,2877,2392
375683,Gordon Cooper Technology Center,1,697,825,823,823,922,989,922,1050,1050,1370
364548,Great Plains Technology Center,1,242,287,394,338,346,389,399,415,394,405
428019,Green Country Technology Center,1,237,261,185,181,210,215,230,258,228,353
208053,High Plains Technology Center,1,232,103,141,134,263,235,202,211,238,254
418296,Indian Capital Technology Center-Muskogee,1,1291,1292,792,754,646,545,553,543,452,1295
483276,JB's Hair Design and Barber College,3,47,60,51,48,44,32,,,,
207704,Jenks Beauty College,3,121,23,69,72,101,103,124,164,161,176
375726,Kiamichi Technology Center-McAlester,1,1782,2024,262,294,302,361,329,374,277,295
207209,Langston University,1,1884,1951,1943,1935,1828,1804,1753,2066,2035,2107
