UnitID,Institution Name,Control of institution (HD2019),Average amount of federal student loans awarded to undergraduate students (SFA1819),Average amount of federal student loans awarded to undergraduate students (SFA1718_RV),Average amount of federal student loans awarded to undergraduate students (SFA1617_RV),Average amount of federal student loans awarded to undergraduate students (SFA1516_RV),Average amount of federal student loans awarded to undergraduate students (SFA1415_RV),Average amount of federal student loans awarded to undergraduate students (SFA1314_RV),Average amount of federal student loans awarded to undergraduate students (SFA1213_RV),Average amount of federal student loans awarded to undergraduate students (SFA1112_RV),Average amount of federal student loans awarded to undergraduate students (SFA1011_RV),Average amount of Federal student loan aid received by undergraduate students (SFA0910_RV)
455929,Academy of Hair Design-Oklahoma City,3,7233,6783,9302,8360,9255,7737,6790,9501,4060,7223
449728,American Institute of Medical Technology,3,7510,8666,5648,10356,6676,6676,11180,9500,5841,7937
365213,Autry Technology Center,1,,,,,,,,,,
206817,Bacone College,2,7529,6842,9469,8935,4682,3898,5550,7653,5567,5948
207272,Beauty Technical College Inc,3,5550,3400,3100,3500,3700,3050,3036,3965,3000,3000
448424,Broken Arrow Beauty College,3,6441,5397,6749,4101,6056,6354,4119,6418,6133,3233
206880,Broken Arrow Beauty College-Broken Arrow,3,,2917,6477,5799,5720,6193,7733,6115,6880,4375
364946,Caddo Kiowa Technology Center,1,,,,,,,,,,
206914,Cameron University,1,6651,6831,6971,7065,7059,7140,7139,6781,6272,4871
365374,Canadian Valley Technology Center,1,,,,,,,,,,
206923,Carl Albert State College,1,4947,4746,4239,4280,4034,3553,3781,3679,3734,4016
206932,Central Oklahoma College,3,6810,6585,6225,6863,5391,5522,5252,4526,4627,6176
246017,Central Technology Center,1,,,,,,,,,,
375656,Chisholm Trail Technology Center,1,,,,,,,,,,
450401,Clary Sage College,2,5985,6281,7144,6904,7289,7413,7488,7052,6226,7062
480967,College of the Muscogee Nation,1,,,,,,,,,,
439570,Community Care College,2,6759,6559,7202,6869,7662,7417,8084,6952,6622,8186
206996,Connors State College,1,6222,5721,4545,4692,4706,4650,4893,4786,4868,4922
207041,East Central University,1,6635,6572,6865,6291,6208,6351,6488,6848,6848,2542
418348,Eastern Oklahoma County Technology Center,1,,,,,,,,,,
207050,Eastern Oklahoma State College,1,6187,6010,6377,7514,6755,3335,4027,4239,5900,5811
207087,Enid Beauty College,3,7358,7238,7790,5972,6332,4861,5810,3613,3856,5755
207102,Eves College of Hairstyling,3,6334,6411,7027,6332,9019,5102,4463,5130,4720,2727
443058,Family of Faith Christian University,2,3979,7446,6100,7949,5515,5330,6447,3093,6508,7427
