UnitID,Institution Name,Control of institution (HD2019),,Published in-district tuition and fees 2018-19 (IC2018_AY),Published in-district tuition and fees 2017-18 (IC2017_AY),Published in-district tuition and fees 2016-17 (IC2016_AY),Published in-district tuition and fees 2015-16 (IC2015_AY),Published in-district tuition and fees 2014-15 (IC2014_AY),Published in-district tuition and fees 2013-14 (IC2013_AY),Published in-district tuition and fees 2012-13 (IC2012_AY),Published in-district tuition and fees 2011-12 (IC2011_AY_RV),Published in-district tuition and fees 2010-11 (IC2010_AY_RV),Published in-district tuition and fees 2009-10 (IC2009_AY_RV)
455929,Academy of Hair Design-Oklahoma City,3,,,,,,,,,,,
449728,American Institute of Medical Technology,3,,,,,,,,,,,
365213,Autry Technology Center,1,,,,,,,,,,,
206817,Bacone College,2,,17700,17700,14850,14500,14050,14050,13510,12900,12300,11700
207272,Beauty Technical College Inc,3,,,,,,,,,,,
448424,Broken Arrow Beauty College,3,,,,,,,,,,,
206880,Broken Arrow Beauty College-Broken Arrow,3,,,,,,,,,,,
364946,Caddo Kiowa Technology Center,1,,,,,,,,,,,
206914,Cameron University,1,,6450,6180,5970,5580,5340,5055,4770,4590,4336,4110
365374,Canadian Valley Technology Center,1,,,,,,,,,,,
206923,Carl Albert State College,1,,3687,3412,3160,3011,3003,2808,2664,2332,2216,2104
206932,Central Oklahoma College,3,,,,,,,,,,,
246017,Central Technology Center,1,,,,,,,,,,,
375656,Chisholm Trail Technology Center,1,,,,,,,,,,,
450401,Clary Sage College,2,,,,,,,,,,,
480967,College of the Muscogee Nation,1,,6600,6600,6600,6600,6501,6501,,,,
439570,Community Care College,2,,,,,,,,,,,
206996,Connors State College,1,,3600,3512,3210,2990,3563,3352,2539,2287,2091,2091
207041,East Central University,1,,6810,6600,6279,5874,5599,5241,4957,4703,4482,4271
418348,Eastern Oklahoma County Technology Center,1,,,,,,,,,,,
207050,Eastern Oklahoma State College,1,,4572,4572,4224,3947,3766,3528,3200,3200,3006,2856
207087,Enid Beauty College,3,,,,,,,,,,,
207102,Eves College of Hairstyling,3,,,,,,,,,,,
443058,Family of Faith Christian University,2,,6570,6570,6220,6070,6120,5970,5610,5460,5310,5110
208044,Formations Institute of Cosmetology & Barbering,3,,,,,,,,,,,
245999,Francis Tuttle Technology Center,1,,,,,,,,,,,
375683,Gordon Cooper Technology Center,1,,,,,,,,,,,
364548,Great Plains Technology Center,1,,,,,,,,,,,
428019,Green Country Technology Center,1,,,,,,,,,,,
208053,High Plains Technology Center,1,,,,,,,,,,,
418296,Indian Capital Technology Center-Muskogee,1,,,,,,,,,,,
483276,JB's Hair Design and Barber College,3,,,,,,,,,,,
207704,Jenks Beauty College,3,,,,,,,,,,,
375726,Kiamichi Technology Center-McAlester,1,,,,,,,,,,,
207209,Langston University,1,,6226,5936,5734,5042,4603,3815,4255,4112,3974,3827
365480,Meridian Technology Center,1,,,,,,,,,,,
363165,Metro Technology Centers,1,,,,,,,,,,,
245953,Mid-America Christian University,2,,19604,17830,17132,16798,16230,15688,15092,14830,14080,13430
418320,Mid-America Technology Center,1,,,,,,,,,,,
431017,Mid-Del Technology Center,1,,,,,,,,,,,
248606,Moore Norman Technology Center,1,,,,,,,,,,,
207236,Murray State College,1,,6010,5050,4638,4340,4148,4134,4036,3200,2990,2840
466152,National American University-Tulsa,3,,15000,15000,13755,13395,13071,12315,11919,12792,,
420459,Northeast Technology Center-Afton,1,,,,,,,,,,,
456560,Northeast Technology Center-Claremore,1,,,,,,,,,,,
432074,Northeast Technology Center-Kansas,1,,,,,,,,,,,
418339,Northeast Technology Center-Pryor,1,,,,,,,,,,,
461087,Northeast Technology Center-System Office,1,,,,,,,,,,,
207290,Northeastern Oklahoma A&M College,1,,4758,4448,4178,3832,3772,3525,3194,3040,2778,2640
207263,Northeastern State University,1,,6650,6327,6207,5547,5285,4992,4857,4602,4385,4155
207281,Northern Oklahoma College,1,,4170,3865,3675,3454,3219,3019,2845,2670,2526,2303
366623,Northwest Technology Center-Alva,1,,,,,,,,,,,
407601,Northwest Technology Center-Fairview,1,,,,,,,,,,,
207306,Northwestern Oklahoma State University,1,,7471,7066,6690,6112,5843,5642,5347,4968,4479,4247
207403,Oklahoma Baptist University,2,,28258,26840,25310,24000,22800,21842,20796,19756,18608,17562
207324,Oklahoma Christian University,2,,22760,21670,20840,19890,19120,18800,18800,18456,17456,16366
207449,Oklahoma City Community College,1,,4059,3909,3727,3391,3241,3091,2974,2850,2659,2521
207458,Oklahoma City University,2,,31026,30726,30726,30726,30726,29426,27500,27500,25760,23950
207351,Oklahoma Panhandle State University,1,,7930,6196,7294,7461,7137,6739,6390,5704,4894,4241
207315,Oklahoma State University Center for Health Sciences,1,,,,,,,,,,,
207564,Oklahoma State University Institute of Technology,1,,5550,5250,5100,4860,4605,4395,4215,4050,3795,3705
207388,Oklahoma State University-Main Campus,1,,9019,8738,8321,7778,7442,7442,7442,7107,6779,6202
207397,Oklahoma State University-Oklahoma City,1,,4498,3836,3634,2859,2859,2661,2661,2559,2419,2336
469629,Oklahoma Technical College,2,,,,,,,,,,,
206835,Oklahoma Wesleyan University,2,,27136,26090,25070,24108,23180,22252,21140,20160,19200,17970
207582,Oral Roberts University,2,,27728,26792,25676,24792,23410,22508,21576,20756,20054,19106
483665,Paul Mitchell the School-Ardmore,3,,,,,,,,,,,
486567,Paul Mitchell the School-Tulsa,3,,,,,,,,,,,
414966,Phillips Theological Seminary,2,,,,,,,,,,,
364627,Pioneer Technology Center,1,,,,,,,,,,,
245962,Platt College,3,,,,,,,,,,,
428143,Platt College-Lawton,3,,,,,,,,,,,
447379,Platt College-Moore,3,,,,,,,,,,,
445258,Platt College-OKC-Memorial,3,,,,,,,,,,,
245980,Ponca City Beauty College,3,,,,,,,,,,,
206905,Pontotoc Technology Center,1,,,,,,,,,,,
493691,Premier Academy of Cosmetology,3,,,,,,,,,,,
436067,Pryor Beauty College,3,,,,,,,,,,,
