UnitID,Institution Name,State abbreviation (HD2019),Undergraduate enrollment (DRVEF2018_RV),
459523,ABC Beauty Academy,TX,33,
222178,Abilene Christian University,TX,3538,
434283,Academy of Hair Design-Beaumont,TX,57,
447449,Academy of Hair Design-Jasper,TX,42,
434274,Academy of Hair Design-Lufkin,TX,84,
437608,Advanced Barber College and Hair Design,TX,165,
458052,Advanced Beauty College,TX,44,
482981,Alamo City Barber College,TX,157,
222497,Alamo Community College District Central Office,TX,,
490522,Allgood Beauty Institute,TX,8,
445461,Altierus Career College-Bissonnet,TX,383,
222567,Alvin Community College,TX,5573,
222576,Amarillo College,TX,9854,
222628,Amberton University,TX,189,
429085,American College of Acupuncture and Oriental Med,TX,0,
445133,American InterContinental University-Houston,TX,257,
222822,Angelina College,TX,4919,
222831,Angelo State University,TX,8672,
490425,Ann Webb Skin Institute,TX,134,
429094,AOMA Graduate School of Integrative Medicine,TX,0,
494162,Arizona College-Dallas,TX,,
222877,Arlington Baptist University,TX,161,
222886,Arlington Career Institute,TX,330,
379746,Astrodome Career Centers,TX,133,
444556,Auguste Escoffier School of Culinary Arts-Austin,TX,506,
222983,Austin College,TX,1277,
222992,Austin Community College District,TX,40799,
247825,Austin Graduate School of Theology,TX,26,
223001,Austin Presbyterian Theological Seminary,TX,0,
455354,Aveda Arts & Sciences Institute-San Antonio,TX,237,
458070,Avenue Five Institute,TX,297,
494524,Avenue Five Institute-South Austin Campus,TX,,
441788,Aviation Institute of Maintenance-Dallas,TX,481,
227748,Aviation Institute of Maintenance-Houston,TX,313,
420705,Bakke Graduate University,TX,0,
414489,Baldwin Beauty School-North Austin,TX,104,
223056,Baldwin Beauty School-South Austin,TX,76,
223083,Baptist Health System School of Health Professions,TX,644,
223117,Baptist Missionary Association Theological Seminary,TX,60,
444398,Baptist University of the Americas,TX,154,
484048,Barber Institute of Texas,TX,6,
223223,Baylor College of Medicine,TX,0,
223232,Baylor University,TX,14188,
483559,Bella Cosmetology College,TX,89,
224013,BK Cosmo College of Cosmetology,TX,17,
223427,Blinn College,TX,19931,
223506,Brazosport College,TX,4311,
450304,Brite Divinity School,TX,0,
223524,Brookhaven College,TX,13726,
461740,Buckner Barber School,TX,20,
493734,Careers Institute of America,TX,,
475750,Carrington College-Mesquite,TX,40,
449773,CCI Training Center-Arlington,TX,217,
223773,Cedar Valley College,TX,8030,
379782,Center for Advanced Legal Studies,TX,211,
246460,Central Texas Beauty College-Round Rock,TX,156,
383464,Central Texas Beauty College-Temple,TX,132,
223816,Central Texas College,TX,16073,
432269,CET-El Paso,TX,51,
466930,Chamberlain University-Texas,TX,823,
449782,Champion Beauty College,TX,56,
223852,Charles and Sues School of Hair Design,TX,21,
492607,Chicago School of Professional Psychology at Dallas,TX,0,
494630,Christ Mission College,TX,,
223898,Cisco College,TX,3374,
223922,Clarendon College,TX,1844,
223320,Coastal Bend College,TX,4614,
439613,College of Biblical Studies,TX,157,
388520,College of Biblical Studies-Houston,TX,376,
226408,College of the Mainland,TX,4673,
247834,Collin County Community College District,TX,33668,
366261,Commonwealth Institute of Funeral Service,TX,205,
460181,Concorde Career College-Dallas,TX,701,
441742,Concorde Career College-Grand Prairie,TX,835,
460206,Concorde Career College-San Antonio,TX,676,
224004,Concordia University Texas,TX,1746,
486770,Cortiva Institute-Arlington,TX,162,
476346,Cortiva Institute-Dallas,TX,210,
481942,Cortiva Institute-Houston,TX,199,
482200,Cosmetology Academy of Texarkana,TX,67,
224156,Cosmetology Career Center LLC,TX,352,
226675,Covenant School of Nursing and Allied Health,TX,350,
475608,Criswell College,TX,179,
444565,Culinary Institute Inc,TX,339,
480888,CyberTex Institute of Technology,TX,217,
224226,Dallas Baptist University,TX,3014,
443021,Dallas Barber & Stylist College,TX,134,
224244,Dallas Christian College,TX,212,
224253,Dallas County Community College District,TX,,
224271,Dallas Institute of Funeral Service,TX,187,
437732,Dallas Nursing Institute,TX,225,
224305,Dallas Theological Seminary,TX,0,
224350,Del Mar College,TX,11867,
493804,Deluxe Barber College,TX,,
482635,DeVry University-Texas,TX,482,
461388,Diamonds Cosmetology College,TX,57,
458043,DuVall's School of Cosmetology,TX,56,
224527,East Texas Baptist University,TX,1485,
224572,Eastfield College,TX,16769,
224615,El Centro College,TX,11729,
224642,El Paso Community College,TX,28819,
224712,Episcopal Theological Seminary of the Southwest,TX,0,
224758,Exposito School of Hair Design,TX,37,
487490,Florida Career College-Houston Campus,TX,394,
224828,Fort Worth Beauty School,TX,67,
392415,Fortis College,TX,309,
458478,Fortis College-Grand Prairie,TX,63,
459958,Fortis Institute,TX,331,
224891,Frank Phillips College,TX,1484,
485926,GA Beauty & Barber School,TX,116,
406033,Galen College of Nursing-San Antonio,TX,1510,
224961,Galveston College,TX,2429,
480912,Gemini School of Visual Arts & Communication,TX,15,
481401,Grace School of Theology,TX,237,
225070,Grayson College,TX,4372,
494560,Guidance College,TX,,
225201,Hallmark University,TX,810,
455327,Hands on Therapy,TX,43,
225247,Hardin-Simmons University,TX,1762,
225371,Hill College,TX,4447,
225399,Houston Baptist University,TX,2321,
493743,Houston Barber School,TX,,
225423,Houston Community College,TX,57200,
246345,Houston Graduate School of Theology,TX,0,
458034,Houston International College Cardiotech Ultrasound School,TX,67,
492157,Houston School of Carpentry,TX,,
383792,Houston Training School-Gulfgate,TX,144,
380067,Houston Training School-Main Campus,TX,115,
484996,Houston Training Schools-Gessner,TX,114,
225520,Howard College,TX,4485,
225548,Howard Payne University,TX,962,
225575,Huston-Tillotson University,TX,1119,
367361,Interactive College of Technology,TX,40,
443696,Interactive College of Technology,TX,16,
440776,Interactive College of Technology,TX,23,
431284,International Beauty College,TX,67,
225788,International Business College-El Paso,TX,138,
225779,International Business College-El Paso,TX,19,
225876,Jacksonville College-Main Campus,TX,511,
225885,Jarvis Christian College,TX,964,
