UnitID,Institution Name,State abbreviation (HD2019),Control of institution (HD2019),
459523,ABC Beauty Academy,TX,3,
222178,Abilene Christian University,TX,2,
434283,Academy of Hair Design-Beaumont,TX,3,
447449,Academy of Hair Design-Jasper,TX,3,
434274,Academy of Hair Design-Lufkin,TX,3,
437608,Advanced Barber College and Hair Design,TX,3,
458052,Advanced Beauty College,TX,3,
482981,Alamo City Barber College,TX,3,
222497,Alamo Community College District Central Office,TX,1,
490522,Allgood Beauty Institute,TX,3,
445461,Altierus Career College-Bissonnet,TX,2,
222567,Alvin Community College,TX,1,
222576,Amarillo College,TX,1,
222628,Amberton University,TX,2,
429085,American College of Acupuncture and Oriental Med,TX,3,
445133,American InterContinental University-Houston,TX,3,
222822,Angelina College,TX,1,
222831,Angelo State University,TX,1,
490425,Ann Webb Skin Institute,TX,3,
429094,AOMA Graduate School of Integrative Medicine,TX,3,
494162,Arizona College-Dallas,TX,3,
222877,Arlington Baptist University,TX,2,
222886,Arlington Career Institute,TX,3,
379746,Astrodome Career Centers,TX,3,
444556,Auguste Escoffier School of Culinary Arts-Austin,TX,3,
222983,Austin College,TX,2,
222992,Austin Community College District,TX,1,
247825,Austin Graduate School of Theology,TX,2,
223001,Austin Presbyterian Theological Seminary,TX,2,
455354,Aveda Arts & Sciences Institute-San Antonio,TX,3,
458070,Avenue Five Institute,TX,3,
494524,Avenue Five Institute-South Austin Campus,TX,3,
441788,Aviation Institute of Maintenance-Dallas,TX,3,
227748,Aviation Institute of Maintenance-Houston,TX,3,
420705,Bakke Graduate University,TX,2,
414489,Baldwin Beauty School-North Austin,TX,3,
223056,Baldwin Beauty School-South Austin,TX,3,
223083,Baptist Health System School of Health Professions,TX,3,
223117,Baptist Missionary Association Theological Seminary,TX,2,
444398,Baptist University of the Americas,TX,2,
484048,Barber Institute of Texas,TX,3,
223223,Baylor College of Medicine,TX,2,
223232,Baylor University,TX,2,
483559,Bella Cosmetology College,TX,3,
224013,BK Cosmo College of Cosmetology,TX,3,
223427,Blinn College,TX,1,
223506,Brazosport College,TX,1,
450304,Brite Divinity School,TX,2,
223524,Brookhaven College,TX,1,
461740,Buckner Barber School,TX,3,
493734,Careers Institute of America,TX,3,
475750,Carrington College-Mesquite,TX,3,
449773,CCI Training Center-Arlington,TX,3,
223773,Cedar Valley College,TX,1,
379782,Center for Advanced Legal Studies,TX,3,
246460,Central Texas Beauty College-Round Rock,TX,3,
383464,Central Texas Beauty College-Temple,TX,3,
223816,Central Texas College,TX,1,
432269,CET-El Paso,TX,2,
466930,Chamberlain University-Texas,TX,3,
449782,Champion Beauty College,TX,3,
223852,Charles and Sues School of Hair Design,TX,3,
492607,Chicago School of Professional Psychology at Dallas,TX,2,
494630,Christ Mission College,TX,2,
223898,Cisco College,TX,1,
223922,Clarendon College,TX,1,
223320,Coastal Bend College,TX,1,
439613,College of Biblical Studies,TX,2,
388520,College of Biblical Studies-Houston,TX,2,
226408,College of the Mainland,TX,1,
247834,Collin County Community College District,TX,1,
366261,Commonwealth Institute of Funeral Service,TX,2,
460181,Concorde Career College-Dallas,TX,3,
441742,Concorde Career College-Grand Prairie,TX,3,
460206,Concorde Career College-San Antonio,TX,3,
224004,Concordia University Texas,TX,2,
486770,Cortiva Institute-Arlington,TX,3,
476346,Cortiva Institute-Dallas,TX,3,
481942,Cortiva Institute-Houston,TX,3,
482200,Cosmetology Academy of Texarkana,TX,3,
224156,Cosmetology Career Center LLC,TX,3,
226675,Covenant School of Nursing and Allied Health,TX,2,
475608,Criswell College,TX,2,
444565,Culinary Institute Inc,TX,3,
480888,CyberTex Institute of Technology,TX,3,
224226,Dallas Baptist University,TX,2,
443021,Dallas Barber & Stylist College,TX,3,
224244,Dallas Christian College,TX,2,
224253,Dallas County Community College District,TX,1,
224271,Dallas Institute of Funeral Service,TX,2,
437732,Dallas Nursing Institute,TX,2,
224305,Dallas Theological Seminary,TX,2,
224350,Del Mar College,TX,1,
493804,Deluxe Barber College,TX,3,
482635,DeVry University-Texas,TX,3,
461388,Diamonds Cosmetology College,TX,3,
458043,DuVall's School of Cosmetology,TX,3,
224527,East Texas Baptist University,TX,2,
224572,Eastfield College,TX,1,
224615,El Centro College,TX,1,
224642,El Paso Community College,TX,1,
224712,Episcopal Theological Seminary of the Southwest,TX,2,
224758,Exposito School of Hair Design,TX,3,
487490,Florida Career College-Houston Campus,TX,3,
224828,Fort Worth Beauty School,TX,3,
392415,Fortis College,TX,3,
458478,Fortis College-Grand Prairie,TX,3,
459958,Fortis Institute,TX,3,
224891,Frank Phillips College,TX,1,
485926,GA Beauty & Barber School,TX,3,
406033,Galen College of Nursing-San Antonio,TX,3,
224961,Galveston College,TX,1,
480912,Gemini School of Visual Arts & Communication,TX,3,
481401,Grace School of Theology,TX,2,
225070,Grayson College,TX,1,
494560,Guidance College,TX,2,
