UnitID,Institution Name,Percent of full-time first-time undergraduates awarded any financial aid (SFA1819),
459523,ABC Beauty Academy,68,
222178,Abilene Christian University,100,
434283,Academy of Hair Design-Beaumont,100,
447449,Academy of Hair Design-Jasper,100,
434274,Academy of Hair Design-Lufkin,80,
437608,Advanced Barber College and Hair Design,83,
458052,Advanced Beauty College,100,
482981,Alamo City Barber College,94,
222497,Alamo Community College District Central Office,,
490522,Allgood Beauty Institute,100,
445461,Altierus Career College-Bissonnet,87,
222567,Alvin Community College,55,
222576,Amarillo College,72,
222628,Amberton University,,
429085,American College of Acupuncture and Oriental Med,,
445133,American InterContinental University-Houston,67,
222822,Angelina College,91,
222831,Angelo State University,94,
490425,Ann Webb Skin Institute,47,
429094,AOMA Graduate School of Integrative Medicine,,
494162,Arizona College-Dallas,,
222877,Arlington Baptist University,97,
222886,Arlington Career Institute,63,
379746,Astrodome Career Centers,64,
444556,Auguste Escoffier School of Culinary Arts-Austin,70,
222983,Austin College,100,
222992,Austin Community College District,57,
247825,Austin Graduate School of Theology,,
223001,Austin Presbyterian Theological Seminary,,
455354,Aveda Arts & Sciences Institute-San Antonio,96,
458070,Avenue Five Institute,73,
494524,Avenue Five Institute-South Austin Campus,94,
441788,Aviation Institute of Maintenance-Dallas,75,
227748,Aviation Institute of Maintenance-Houston,100,
420705,Bakke Graduate University,,
414489,Baldwin Beauty School-North Austin,66,
223056,Baldwin Beauty School-South Austin,53,
223083,Baptist Health System School of Health Professions,,
223117,Baptist Missionary Association Theological Seminary,,
444398,Baptist University of the Americas,89,
484048,Barber Institute of Texas,100,
223223,Baylor College of Medicine,,
223232,Baylor University,95,
483559,Bella Cosmetology College,80,
224013,BK Cosmo College of Cosmetology,67,
223427,Blinn College,64,
223506,Brazosport College,57,
450304,Brite Divinity School,,
223524,Brookhaven College,52,
461740,Buckner Barber School,100,
493734,Careers Institute of America,95,
475750,Carrington College-Mesquite,100,
449773,CCI Training Center-Arlington,100,
223773,Cedar Valley College,84,
379782,Center for Advanced Legal Studies,79,
246460,Central Texas Beauty College-Round Rock,84,
383464,Central Texas Beauty College-Temple,92,
